aX,aY,aZ,gX,gY,gZ
0.548,-0.207,0.886,6.020,25.270,-88.410
0.510,-0.148,0.915,8.400,27.090,-90.090
0.470,-0.074,0.922,10.710,28.000,-92.540
0.426,-0.017,0.916,14.910,27.020,-93.660
0.401,0.050,0.905,14.350,25.410,-94.850
0.385,0.249,0.865,11.620,28.000,-98.140
0.356,0.186,0.794,14.910,33.110,-101.290
0.344,0.240,0.769,17.290,36.750,-102.270
0.323,0.294,0.741,20.370,41.090,-97.090
0.326,0.317,0.660,24.430,57.190,-87.850
0.269,0.381,0.581,29.260,64.470,-79.730
0.224,0.420,0.535,33.320,68.950,-66.850
0.181,0.441,0.510,37.030,67.970,-51.100
0.138,0.449,0.497,41.230,62.860,-28.280
0.066,0.425,0.534,43.820,50.190,-17.080
-0.042,0.392,0.557,50.260,37.030,-12.110
-0.155,0.437,0.535,72.240,21.350,-8.260
-0.299,0.381,0.497,96.530,15.750,-14.910
-0.349,0.367,0.546,102.270,8.960,-28.420
-0.388,0.400,0.583,95.620,3.430,-34.510
-0.404,0.453,0.600,80.360,2.590,-37.660
-0.427,0.510,0.559,68.320,7.070,-43.890
-0.459,0.564,0.557,62.230,3.220,-47.600
-0.433,0.626,0.569,49.770,-0.350,-48.090
-0.399,0.676,0.595,46.480,-3.710,-46.690
-0.362,0.741,0.683,25.480,-9.660,-42.210
-0.342,0.792,0.763,4.060,-17.010,-33.670
